ShipmentID,GenericName,CargoUnit,OriginLocationName,OriginCountry,OriginPort,OriginPortCode,DestinationLocationName,DestinationCountry,DestinationPort,DestinationPortCode,Carrier,ModeOfTransport,SecondaryMode,ContainerNumber,BillOfLadingNumber,ETD,ETA,ATD,ATA,FreightTerms,CargoDescription,CargoWeight,CargoVolume,FreightCost,CustomsValue,TrackingNumber,TemperatureCategory,TemperatureRange,PackagingType,QualityRequirements,ComplianceRequirements,QualityMetrics,RiskCategory,InspectionFrequency,MonitoringLevel,InsuranceType,InsuranceCoverage,InsurancePremium,HandlingEquipmentCost,HandlingLaborCost,TotalHandlingCost,CarbonFootprint,CarbonFootprintUnit,RequiredDocuments
SHIP-68722A1D,Growth Hormone,IU,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL47969,11-04-2023 21:00,15-04-2023 21:00,11-04-2023 19:00,15-04-2023 21:00,CIF,Pharmaceutical Raw Materials - Growth Hormone,0.0,0.0,0.03,0.12,FE2502117425085,REF,2C to 8C,Cold Chain Container,"['GDP', 'ISO']","['WHO', 'EMA']","{'temperature_excursions': 3, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9896296039785927}",MEDIUM,Weekly,Enhanced,Premium,0.144,0.01,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-CDA1A448,Lisinopril,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL53343,09-01-2024 21:00,14-01-2024 21:00,10-01-2024 06:00,16-01-2024 09:00,CIF,Pharmaceutical Raw Materials - Lisinopril,72.66,0.2,266.31,6325.72,YF2502113264634,CRT,20C to 35C,Pallet Box,"['GMP', 'ISO']","['MHRA', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.971186361892835}",MEDIUM,Weekly,Enhanced,Premium,7590.864,303.63,35.21,16.93,52.15,6.39,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-F41C9477,Lisinopril,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL20934,20-08-2024 21:00,22-08-2024 21:00,20-08-2024 21:00,24-08-2024 11:00,CIF,Pharmaceutical Raw Materials - Lisinopril,50.1,0.18,1958.19,6297.29,UA2502119045476,CRT,15C to 25C,Cardboard Box,"['GMP', 'ISO']","['WHO', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9681973254079215}",HIGH,Daily,Continuous,Standard,6297.29,283.38,25.65,9.01,34.66,183.46,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-24570857,Sildenafil,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL50607,14-04-2022 21:00,17-04-2022 21:00,15-04-2022 08:00,19-04-2022 05:00,CIF,Pharmaceutical Raw Materials - Sildenafil,25.03,0.11,69.25,3781.43,S2502111743698,CRT,30C to 35C,Plastic Drum,"['HACCP', 'GMP']","['WHO', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9919035372920861}",LOW,Monthly,Standard,Premium,4537.716,151.26,10.21,5.58,15.79,1.6,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-8F55442C,Beta Interferon,mcg,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL93713,18-05-2024 21:00,22-05-2024 21:00,18-05-2024 18:00,22-05-2024 00:00,CIF,Pharmaceutical Raw Materials - Beta Interferon,0.0,0.0,0.0,0.0,LC2502111281717,DFZ,-25C to -15C,Cryo Box,"['GDP', 'ISO']","['FDA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9940676403191775}",HIGH,Daily,Continuous,Standard,0.0,0.0,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-980D2E10,Ciprofloxacin,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL30156,04-07-2024 21:00,11-07-2024 21:00,04-07-2024 23:00,11-07-2024 04:00,CIF,Pharmaceutical Raw Materials - Ciprofloxacin,61.06,0.28,246.19,11289.36,S2502119028548,CRT,30C to 35C,Plastic Drum,"['GDP', 'ISO']","['EMA', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9594220615466824}",HIGH,Daily,Continuous,All-Risk,16934.04,846.7,33.0,9.94,42.94,5.31,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-A8096F51,Metformin,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL96865,19-03-2022 21:00,22-03-2022 21:00,19-03-2022 22:00,24-03-2022 13:00,CIF,Pharmaceutical Raw Materials - Metformin,219.52,0.55,697.67,37220.21,JH2502116546856,CRT,20C to 35C,Pallet Box,"['GDP', 'HACCP']","['EMA', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9569324025103589}",HIGH,Daily,Continuous,Standard,37220.21,1674.91,113.75,39.81,153.57,15.48,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-248C1C90,Alpha Interferon,mcg,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL63292,03-09-2022 21:00,08-09-2022 21:00,03-09-2022 15:00,09-09-2022 13:00,CIF,Pharmaceutical Raw Materials - Alpha Interferon,0.0,0.0,0.0,0.0,S2502119805652,DFZ,-80C to -20C,Deep Freeze Container,"['GMP', 'GDP']","['FDA', 'WHO']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9975417960228987}",MEDIUM,Weekly,Enhanced,All-Risk,0.0,0.0,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-38E7C254,Albuterol,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL79143,28-01-2023 21:00,31-01-2023 21:00,28-01-2023 15:00,02-02-2023 02:00,CIF,Pharmaceutical Raw Materials - Albuterol,20.84,0.11,1062.54,1325.27,UA2502113701527,CRT,15C to 25C,Cardboard Box,"['ISO', 'HACCP']","['WHO', 'FDA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9962407384679729}",HIGH,Daily,Continuous,Standard,1325.27,59.64,10.12,3.55,13.67,90.88,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-23649250,Ibuprofen,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL12688,04-03-2024 21:00,08-03-2024 21:00,04-03-2024 19:00,10-03-2024 19:00,CIF,Pharmaceutical Raw Materials - Ibuprofen,161.12,0.47,7404.63,29017.4,DA2502118571152,CRT,20C to 35C,Pallet Box,"['ISO', 'GMP']","['WHO', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9763212115180743}",HIGH,Daily,Continuous,All-Risk,43526.1,2176.31,78.04,37.75,115.79,661.59,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
